pct,mag,index,bf_path,hoechst_path,wt1_path,sample_id,fold
10,10x,1,CaMSC 10% 10x BF_1.tif,CaMSC 10% 10x Hoechst_1.tif,CaMSC 10% 10x WT1_1.tif,camsc_10pct_10x_1,1
10,10x,10,CaMSC 10% 10x BF__10.tif,CaMSC 10% 10x Hoechst_10.tif,CaMSC 10% 10x WT1_10.tif,camsc_10pct_10x_10,4
10,10x,2,CaMSC 10% 10x BF_2.tif,CaMSC 10% 10x Hoechst_2.tif,CaMSC 10% 10x WT1_2.tif,camsc_10pct_10x_2,2
10,10x,3,CaMSC 10% 10x BF_3.tif,CaMSC 10% 10x Hoechst_3.tif,CaMSC 10% 10x WT1_3.tif,camsc_10pct_10x_3,2
10,10x,4,CaMSC 10% 10x BF_4.tif,CaMSC 10% 10x Hoechst_4.tif,CaMSC 10% 10x WT1_4.tif,camsc_10pct_10x_4,3
10,10x,5,CaMSC 10% 10x BF_5.tif,CaMSC 10% 10x Hoechst_5.tif,CaMSC 10% 10x WT1_5.tif,camsc_10pct_10x_5,0
10,10x,6,CaMSC 10% 10x BF__6.tif,CaMSC 10% 10x Hoechst_6.tif,CaMSC 10% 10x WT1_6.tif,camsc_10pct_10x_6,0
10,10x,7,CaMSC 10% 10x BF__7.tif,CaMSC 10% 10x Hoechst_7.tif,CaMSC 10% 10x WT1_7.tif,camsc_10pct_10x_7,1
10,10x,8,CaMSC 10% 10x BF__8.tif,CaMSC 10% 10x Hoechst_8.tif,CaMSC 10% 10x WT1_8.tif,camsc_10pct_10x_8,4
10,10x,9,CaMSC 10% 10x BF__9.tif,CaMSC 10% 10x Hoechst_9.tif,CaMSC 10% 10x WT1_9.tif,camsc_10pct_10x_9,3
30,10x,1,CaMSC 30% 10x BF_1.tif,CaMSC 30% 10x Hoechst_1.tif,CaMSC 30% 10x WT1_1.tif,camsc_30pct_10x_1,4
30,10x,10,CaMSC 30% 10x BF_10.tif,CaMSC 30% 10x Hoechst_10.tif,CaMSC 30% 10x WT1_10.tif,camsc_30pct_10x_10,4
30,10x,2,CaMSC 30% 10x BF_2.tif,CaMSC 30% 10x Hoechst_2.tif,CaMSC 30% 10x WT1_2.tif,camsc_30pct_10x_2,1
30,10x,3,CaMSC 30% 10x BF_3.tif,CaMSC 30% 10x Hoechst_3.tif,CaMSC 30% 10x WT1_3.tif,camsc_30pct_10x_3,3
30,10x,4,CaMSC 30% 10x BF_4.tif,CaMSC 30% 10x Hoechst_4.tif,CaMSC 30% 10x WT1_4.tif,camsc_30pct_10x_4,0
30,10x,5,CaMSC 30% 10x BF_5.tif,CaMSC 30% 10x Hoechst_5.tif,CaMSC 30% 10x WT1_5.tif,camsc_30pct_10x_5,2
30,10x,6,CaMSC 30% 10x BF_6.tif,CaMSC 30% 10x Hoechst_6.tif,CaMSC 30% 10x WT1_6.tif,camsc_30pct_10x_6,1
30,10x,7,CaMSC 30% 10x BF_7.tif,CaMSC 30% 10x Hoechst_7.tif,CaMSC 30% 10x WT1_7.tif,camsc_30pct_10x_7,3
30,10x,8,CaMSC 30% 10x BF_8.tif,CaMSC 30% 10x Hoechst_8.tif,CaMSC 30% 10x WT1_8.tif,camsc_30pct_10x_8,0
30,10x,9,CaMSC 30% 10x BF_9.tif,CaMSC 30% 10x Hoechst_9.tif,CaMSC 30% 10x WT1_9.tif,camsc_30pct_10x_9,2
50,10x,1,CaMSC 50% 10x BF_1.tif,CaMSC 50% 10x Hoechst_1.tif,CaMSC 50% 10x WT1_1.tif,camsc_50pct_10x_1,0
50,10x,10,CaMSC 50% 10x BF_10.tif,CaMSC 50% 10x Hoechst_10.tif,CaMSC 50% 10x WT1_10.tif,camsc_50pct_10x_10,4
50,10x,2,CaMSC 50% 10x BF_2.tif,CaMSC 50% 10x Hoechst_2.tif,CaMSC 50% 10x WT1_2.tif,camsc_50pct_10x_2,2
50,10x,3,CaMSC 50% 10x BF_3.tif,CaMSC 50% 10x Hoechst_3.tif,CaMSC 50% 10x WT1_3.tif,camsc_50pct_10x_3,3
50,10x,4,CaMSC 50% 10x BF_4.tif,CaMSC 50% 10x Hoechst_4.tif,CaMSC 50% 10x WT1_4.tif,camsc_50pct_10x_4,1
50,10x,5,CaMSC 50% 10x BF_5.tif,CaMSC 50% 10x Hoechst_5.tif,CaMSC 50% 10x WT1_5.tif,camsc_50pct_10x_5,3
50,10x,6,CaMSC 50% 10x BF_6.tif,CaMSC 50% 10x Hoechst_6.tif,CaMSC 50% 10x WT1_6.tif,camsc_50pct_10x_6,4
50,10x,7,CaMSC 50% 10x BF_7.tif,CaMSC 50% 10x Hoechst_7.tif,CaMSC 50% 10x WT1_7.tif,camsc_50pct_10x_7,2
50,10x,8,CaMSC 50% 10x BF_8.tif,CaMSC 50% 10x Hoechst_8.tif,CaMSC 50% 10x WT1_8.tif,camsc_50pct_10x_8,1
50,10x,9,CaMSC 50% 10x BF_9.tif,CaMSC 50% 10x Hoechst_9.tif,CaMSC 50% 10x WT1_9.tif,camsc_50pct_10x_9,0
70,10x,1,CaMSC 70% 10x BF_1.tif,CaMSC 70% 10x Hoechst_1.tif,CaMSC 70% 10x WT1_1.tif,camsc_70pct_10x_1,4
70,10x,10,CaMSC 70% 10x BF_10.tif,CaMSC 70% 10x Hoechst_10.tif,CaMSC 70% 10x WT1_10.tif,camsc_70pct_10x_10,0
70,10x,2,CaMSC 70% 10x BF_2.tif,CaMSC 70% 10x Hoechst_2.tif,CaMSC 70% 10x WT1_2.tif,camsc_70pct_10x_2,1
70,10x,3,CaMSC 70% 10x BF_3.tif,CaMSC 70% 10x Hoechst_3.tif,CaMSC 70% 10x WT1_3.tif,camsc_70pct_10x_3,4
70,10x,4,CaMSC 70% 10x BF_4.tif,CaMSC 70% 10x Hoechst_4.tif,CaMSC 70% 10x WT1_4.tif,camsc_70pct_10x_4,3
70,10x,5,CaMSC 70% 10x BF_5.tif,CaMSC 70% 10x Hoechst_5.tif,CaMSC 70% 10x WT1_5.tif,camsc_70pct_10x_5,2
70,10x,6,CaMSC 70% 10x BF_6.tif,CaMSC 70% 10x Hoechst_6.tif,CaMSC 70% 10x WT1_6.tif,camsc_70pct_10x_6,0
70,10x,7,CaMSC 70% 10x BF_7.tif,CaMSC 70% 10x Hoechst_7.tif,CaMSC 70% 10x WT1_7.tif,camsc_70pct_10x_7,1
70,10x,8,CaMSC 70% 10x BF_8.tif,CaMSC 70% 10x Hoechst_8.tif,CaMSC 70% 10x WT1_8.tif,camsc_70pct_10x_8,3
70,10x,9,CaMSC 70% 10x BF_9.tif,CaMSC 70% 10x Hoechst_9.tif,CaMSC 70% 10x WT1_9.tif,camsc_70pct_10x_9,2
90,10x,1,CaMSC 90% 10x BF_1.tif,CaMSC 90% 10x Hoechst_1.tif,CaMSC 90% 10x WT1_1.tif,camsc_90pct_10x_1,4
90,10x,10,CaMSC 90% 10x BF_10.tif,CaMSC 90% 10x Hoechst_10.tif,CaMSC 90% 10x WT1_10.tif,camsc_90pct_10x_10,2
90,10x,2,CaMSC 90% 10x BF_2.tif,CaMSC 90% 10x Hoechst_2.tif,CaMSC 90% 10x WT1_2.tif,camsc_90pct_10x_2,0
90,10x,3,CaMSC 90% 10x BF_3.tif,CaMSC 90% 10x Hoechst_3.tif,CaMSC 90% 10x WT1_3.tif,camsc_90pct_10x_3,0
90,10x,4,CaMSC 90% 10x BF_4.tif,CaMSC 90% 10x Hoechst_4.tif,CaMSC 90% 10x WT1_4.tif,camsc_90pct_10x_4,2
90,10x,5,CaMSC 90% 10x BF_5.tif,CaMSC 90% 10x Hoechst_5.tif,CaMSC 90% 10x WT1_5.tif,camsc_90pct_10x_5,1
90,10x,6,CaMSC 90% 10x BF_6.tif,CaMSC 90% 10x Hoechst_6.tif,CaMSC 90% 10x WT1_6.tif,camsc_90pct_10x_6,1
90,10x,7,CaMSC 90% 10x BF_7.tif,CaMSC 90% 10x Hoechst_7.tif,CaMSC 90% 10x WT1_7.tif,camsc_90pct_10x_7,4
90,10x,8,CaMSC 90% 10x BF_8.tif,CaMSC 90% 10x Hoechst_8.tif,CaMSC 90% 10x WT1_8.tif,camsc_90pct_10x_8,3
90,10x,9,CaMSC 90% 10x BF_9.tif,CaMSC 90% 10x Hoechst_9.tif,CaMSC 90% 10x WT1_9.tif,camsc_90pct_10x_9,3
