pct_dir,field,index_out,BF,Hoechst,WT1,source
caMSC_10%,1,11,Capture00362.tif,Capture00361.tif,Capture00360.tif,rgb_key
caMSC_10%,2,12,Capture00363.tif,Capture00364.tif,Capture00365.tif,rgb_key
caMSC_10%,3,13,Capture00368.tif,Capture00367.tif,Capture00366.tif,rgb_key
caMSC_10%,4,14,Capture00369.tif,Capture00371.tif,Capture00370.tif,rgb_key
caMSC_10%,5,15,Capture00374.tif,Capture00372.tif,Capture00373.tif,rgb_key
caMSC_10%,6,16,Capture00375.tif,Capture00377.tif,Capture00376.tif,rgb_key
caMSC_10%,7,17,Capture00380.tif,Capture00378.tif,Capture00379.tif,rgb_key
caMSC_10%,8,18,Capture00381.tif,Capture00383.tif,Capture00382.tif,rgb_key
caMSC_10%,9,19,Capture00386.tif,Capture00384.tif,Capture00385.tif,rgb_key
caMSC_10%,10,20,Capture00387.tif,Capture00389.tif,Capture00388.tif,rgb_key
caMSC_10%,11,21,Capture00392.tif,Capture00390.tif,Capture00391.tif,rgb_key
caMSC_10%,12,22,Capture00393.tif,Capture00395.tif,Capture00394.tif,rgb_key
caMSC_10%,13,23,Capture00398.tif,Capture00396.tif,Capture00397.tif,rgb_key
caMSC_10%,14,24,Capture00399.tif,Capture00401.tif,Capture00400.tif,rgb_key
caMSC_10%,15,25,Capture00404.tif,Capture00402.tif,Capture00403.tif,rgb_key
caMSC_30%,1,11,Capture00314.tif,Capture00315.tif,Capture00316.tif,rgb_key
caMSC_30%,2,12,Capture00319.tif,Capture00318.tif,Capture00317.tif,rgb_key
caMSC_30%,3,13,Capture00320.tif,Capture00321.tif,Capture00322.tif,rgb_key
caMSC_30%,4,14,Capture00326.tif,Capture00324.tif,Capture00323.tif,rgb_key
caMSC_30%,5,15,Capture00327.tif,Capture00328.tif,Capture00329.tif,rgb_key
caMSC_30%,6,16,Capture00332.tif,Capture00331.tif,Capture00330.tif,rgb_key
caMSC_30%,7,17,Capture00333.tif,Capture00334.tif,Capture00335.tif,rgb_key
caMSC_30%,8,18,Capture00338.tif,Capture00337.tif,Capture00336.tif,rgb_key
caMSC_30%,9,19,Capture00339.tif,Capture00340.tif,Capture00341.tif,rgb_key
caMSC_30%,10,20,Capture00344.tif,Capture00343.tif,Capture00342.tif,rgb_key
caMSC_30%,11,21,Capture00345.tif,Capture00346.tif,Capture00347.tif,rgb_key
caMSC_30%,12,22,Capture00350.tif,Capture00349.tif,Capture00348.tif,rgb_key
caMSC_30%,13,23,Capture00351.tif,Capture00352.tif,Capture00353.tif,rgb_key
caMSC_30%,14,24,Capture00356.tif,Capture00355.tif,Capture00354.tif,rgb_key
caMSC_30%,15,25,Capture00357.tif,Capture00358.tif,Capture00359.tif,rgb_key
caMSC_50%,1,11,Capture00270.tif,Capture00269.tif,Capture00268.tif,rgb_key
caMSC_50%,2,12,Capture00271.tif,Capture00272.tif,Capture00273.tif,rgb_key
caMSC_50%,3,13,Capture00276.tif,Capture00275.tif,Capture00274.tif,rgb_key
caMSC_50%,4,14,Capture00277.tif,Capture00279.tif,Capture00278.tif,rgb_key
caMSC_50%,5,15,Capture00282.tif,Capture00280.tif,Capture00281.tif,rgb_key
caMSC_50%,6,16,Capture00283.tif,Capture00284.tif,Capture00285.tif,rgb_key
caMSC_50%,7,17,Capture00288.tif,Capture00287.tif,Capture00286.tif,rgb_key
caMSC_50%,8,18,Capture00289.tif,Capture00290.tif,Capture00291.tif,rgb_key
caMSC_50%,9,19,Capture00294.tif,Capture00293.tif,Capture00292.tif,rgb_key
caMSC_50%,10,20,Capture00295.tif,Capture00296.tif,Capture00297.tif,rgb_key
caMSC_50%,11,21,Capture00300.tif,Capture00299.tif,Capture00298.tif,rgb_key
caMSC_50%,12,22,Capture00301.tif,Capture00302.tif,Capture00303.tif,rgb_key
caMSC_50%,13,23,Capture00306.tif,Capture00305.tif,Capture00304.tif,rgb_key
caMSC_50%,14,24,Capture00310.tif,Capture00309.tif,Capture00308.tif,rgb_key
caMSC_50%,15,25,Capture00311.tif,Capture00312.tif,Capture00313.tif,rgb_key
caMSC_70%,1,11,Capture00221.tif,Capture00223.tif,Capture00222.tif,rgb_key
caMSC_70%,2,12,Capture00226.tif,Capture00224.tif,Capture00225.tif,rgb_key
caMSC_70%,3,13,Capture00227.tif,Capture00228.tif,Capture00229.tif,rgb_key
caMSC_70%,4,14,Capture00232.tif,Capture00231.tif,Capture00230.tif,rgb_key
caMSC_70%,5,15,Capture00233.tif,Capture00234.tif,Capture00235.tif,rgb_key
caMSC_70%,6,16,Capture00238.tif,Capture00237.tif,Capture00236.tif,rgb_key
caMSC_70%,7,17,Capture00239.tif,Capture00240.tif,Capture00241.tif,rgb_key
caMSC_70%,8,18,Capture00244.tif,Capture00243.tif,Capture00242.tif,rgb_key
caMSC_70%,9,19,Capture00245.tif,Capture00246.tif,Capture00247.tif,rgb_key
caMSC_70%,10,20,Capture00250.tif,Capture00249.tif,Capture00248.tif,rgb_key
caMSC_70%,11,21,Capture00253.tif,Capture00254.tif,Capture00255.tif,manual_fix
caMSC_70%,12,22,Capture00258.tif,Capture00257.tif,Capture00256.tif,rgb_key
caMSC_70%,13,23,Capture00259.tif,Capture00260.tif,Capture00261.tif,rgb_key
caMSC_70%,14,24,Capture00264.tif,Capture00263.tif,Capture00262.tif,rgb_key
